age,region,unweight_count,weight_count,mean,se_mean,median,median_lower_ci,median_upper_ci,se_median,year
TOTAL,TOTAL,"33,893","321,423,251",607.94,14.71,120.14,113.04,130.89,4.53,2015
TOTAL,1 NORTHEAST,"5,101","56,454,108",609.04,24.78,134.25,113.55,156.34,10.85,2015
TOTAL,2 MIDWEST,"6,239","67,808,884",703.64,41.96,165.07,147.53,182.35,8.83,2015
TOTAL,3 SOUTH,"12,994","121,055,019",553.61,20.52,110.42,97.54,123.24,6.52,2015
TOTAL,4 WEST,"9,559","76,105,240",608.27,34.93,99.01,77.89,117.3,9.99,2015
0 - 4 AGE,TOTAL,"2,244","19,922,751",111.26,11.37,.,.,2.76,.,2015
0 - 4 AGE,1 NORTHEAST,311,"3,354,812",152.74,28.59,0.52,.,19.72,.,2015
0 - 4 AGE,2 MIDWEST,406,"3,992,200",119.48,26.06,3.01,.,21.01,.,2015
0 - 4 AGE,3 SOUTH,846,"7,499,207",78.48,13.58,.,.,5.16,.,2015
0 - 4 AGE,4 WEST,681,"5,076,532",125.81,27.19,.,.,3.92,.,2015
5 - 17 AGE,TOTAL,"6,958","54,255,118",298.79,18.27,13.59,6.75,20.85,3.58,2015
5 - 17 AGE,1 NORTHEAST,923,"8,685,130",371.26,68.39,13.74,2.66,28.17,6.47,2015
5 - 17 AGE,2 MIDWEST,"1,242","11,768,704",344.01,46.8,34.93,20.02,54.35,8.71,2015
5 - 17 AGE,3 SOUTH,"2,775","20,926,882",244.86,27.15,4.32,.,16.57,.,2015
5 - 17 AGE,4 WEST,"2,018","12,874,401",296.24,30.28,9.66,.,31.69,.,2015
18 - 24 AGE,TOTAL,"3,119","29,497,186",295.46,25.98,34.59,22.98,46.12,5.87,2015
18 - 24 AGE,1 NORTHEAST,485,"5,362,735",296.36,86.98,41.12,12.01,67.92,14.18,2015
18 - 24 AGE,2 MIDWEST,549,"5,901,042",299.38,47.01,47.49,24.04,80.13,14.23,2015
18 - 24 AGE,3 SOUTH,"1,130","10,973,686",320.63,42.24,36.66,20.94,68.08,11.96,2015
18 - 24 AGE,4 WEST,955,"7,259,723",253.57,40.65,19.07,.,40.8,.,2015
25 - 44 AGE,TOTAL,"8,925","83,908,842",435.21,18.2,79.62,71.11,91.07,5.06,2015
25 - 44 AGE,1 NORTHEAST,"1,282","14,421,802",387.78,32.05,59.52,38.97,82.96,11.16,2015
25 - 44 AGE,2 MIDWEST,"1,646","17,401,531",480.18,35.46,108.34,89.24,140.5,13,2015
25 - 44 AGE,3 SOUTH,"3,376","31,408,494",399.05,22.12,85.63,68.42,106.55,9.67,2015
25 - 44 AGE,4 WEST,"2,621","20,677,016",485.37,50.19,60.57,46.62,79.79,8.41,2015
45 - 64 AGE,TOTAL,"8,275","84,246,018",830.73,26.27,283.22,262.76,310.35,12.07,2015
45 - 64 AGE,1 NORTHEAST,"1,384","15,283,845",780.81,48.71,299.53,241.77,352.99,28.21,2015
45 - 64 AGE,2 MIDWEST,"1,533","17,912,697",946.29,69.6,356.76,299.81,417.07,29.74,2015
45 - 64 AGE,3 SOUTH,"3,145","31,749,716",808.05,39.05,273.24,239.72,318.6,20.01,2015
45 - 64 AGE,4 WEST,"2,213","19,299,760",800.33,57.75,232.37,190.22,278.42,22.37,2015
65 - 90 AGE,TOTAL,"4,372","49,593,336",1245.32,58.72,512.17,474.58,558.68,21.33,2015
65 - 90 AGE,1 NORTHEAST,716,"9,345,784",1233.78,100.26,523.72,425.7,673.71,62.89,2015
65 - 90 AGE,2 MIDWEST,863,"10,832,709",1487.57,187.24,656.99,565,758.02,48.95,2015
