Series ID	Annual 2006	Annual 2007	Annual 2008	Annual 2009	Annual 2010	Annual 2011	Annual 2012	Annual 2013	Annual 2014	Annual 2015	Annual 2016	Annual 2017
CXU500110LB0502M	508	621	700	589	669	574	600	744	612	663	698	695
CXU500110LB0504M	938	1127	1203	1092	1088	1070	1249	1043	1197	1095	1321	981
CXU500110LB0505M	1090	1461	1288	1337	1225	1223	1154	1192	1412	1452	1283	1246
CXU500110LB0506M	1152	1211	1538	1517	1166	1117	1175	1190	1403	1411	1362	1266
CXU500110LB0507M	1181	1463	1193	1419	1215	1329	1041	1192	1453	1266	1401	927
CXU500110LB1101M	886	1071	1113	1075	1010	983	1018	1013	1112	1079	1149	967
CXU500110LB1104M	874	1041	1181	1095	1032	1098	1119	1048	1101	970	1284	1119
CXUCAREPAIRLB0502M	419	471	443	470	483	500	525	529	515	512	544	794
CXUCAREPAIRLB0504M	740	796	804	812	850	888	855	916	934	910	902	938
CXUCAREPAIRLB0505M	804	848	817	854	976	942	1033	939	969	930	975	1103
CXUCAREPAIRLB0506M	906	924	947	874	980	994	966	1090	975	1087	1121	1116
CXUCAREPAIRLB0507M	852	927	907	857	932	968	1010	1008	1092	1095	1055	1048
CXUCAREPAIRLB1101M	688	738	731	733	787	805	814	835	836	837	849	954
CXUCAREPAIRLB1104M	650	689	650	646	721	719	727	760	775	805	776	813
CXUGASOILLB0502M	1188	1276	1384	1022	1164	1399	1420	1373	1300	1085	1007	999
CXUGASOILLB0504M	2263	2452	2789	1993	2190	2708	2808	2686	2552	2085	1928	1979
CXUGASOILLB0505M	2707	2804	3280	2470	2504	3255	3432	3144	3006	2589	2304	2399
CXUGASOILLB0506M	3146	3364	3805	2761	2926	3675	3833	3670	3406	3043	2708	2839
CXUGASOILLB0507M	3253	3531	4057	2964	3115	3875	4115	3942	3705	3121	2955	3014
CXUGASOILLB1101M	2227	2384	2715	1986	2132	2655	2756	2611	2468	2090	1909	1968
CXUGASOILLB1104M	2356	2522	2937	2103	2229	2794	2863	2726	2553	2123	1946	1953
CXUPUBTRANSLB0502M	363	324	314	303	316	316	330	311	337	393	386	435
CXUPUBTRANSLB0504M	603	722	620	559	589	614	655	693	741	812	722	835
CXUPUBTRANSLB0505M	528	546	568	560	525	567	588	553	618	746	637	737
CXUPUBTRANSLB0506M	520	624	563	568	641	696	735	621	710	735	919	935
CXUPUBTRANSLB0507M	558	453	594	484	457	481	476	586	571	714	593	774
CXUPUBTRANSLB1101M	505	538	513	479	493	516	542	537	581	661	623	712
CXUPUBTRANSLB1104M	316	368	331	314	327	334	371	330	413	453	435	529
CXUTRANSLB0502M	4433	4539	4439	4182	4011	4367	4599	4952	4617	4960	4746	5155
CXUTRANSLB0504M	8805	9274	9225	8306	8439	8637	10055	9491	10094	9669	10098	10170
CXUTRANSLB0505M	10471	10801	10758	8775	9523	10321	10803	11160	10547	12216	10772	11695
CXUTRANSLB0506M	11836	11655	11515	10707	9897	11682	12001	12529	12631	13687	12165	13230
CXUTRANSLB0507M	12239	12754	11602	9716	10133	11042	11914	11789	12286	12951	11856	12624
CXUTRANSLB1101M	8508	8758	8604	7658	7677	8293	8998	9004	9073	9503	9049	9576
CXUTRANSLB1104M	8497	8485	8482	7400	7590	8264	9080	8673	9041	9598	9298	9347
CXUUSEDCARSLB0502M	726	683	605	606	516	629	713	847	825	816	767	896
CXUUSEDCARSLB0504M	1397	1324	1266	1334	1329	1167	1451	1556	1586	1670	2192	2050
CXUUSEDCARSLB0505M	2302	2266	1828	1399	1895	1775	1840	2125	1910	2973	2166	2541
CXUUSEDCARSLB0506M	2360	2283	1754	2305	1780	2322	2252	2911	2806	3165	2787	3207
CXUUSEDCARSLB0507M	2431	2989	2215	1710	2118	1979	2660	2210	2869	3496	2996	3746
CXUUSEDCARSLB1101M	1568	1567	1315	1304	1318	1339	1516	1669	1689	1982	1919	2101
CXUUSEDCARSLB1104M	1716	1597	1263	1211	1331	1403	1662	1605	1721	2246	2011	2139
CXUVEHFINCHLB0502M	117	122	121	109	100	99	92	86	85	90	91	83
CXUVEHFINCHLB0504M	300	323	314	302	270	225	221	210	202	213	225	228
CXUVEHFINCHLB0505M	395	383	404	356	305	327	310	270	281	287	295	277
CXUVEHFINCHLB0506M	455	468	489	440	353	359	349	322	338	342	363	350
CXUVEHFINCHLB0507M	470	458	492	378	330	337	323	283	325	335	353	347
CXUVEHFINCHLB1101M	298	305	312	281	243	233	223	204	208	216	226	220
CXUVEHFINCHLB1104M	338	342	364	336	276	267	246	225	228	249	256	240
CXUVEHOTHXPLB0502M	1324	1461	1523	1417	1495	1418	1472	1676	1510	1632	1728	1961
CXUVEHOTHXPLB0504M	2531	2740	2829	2714	2694	2678	2804	2741	2994	2896	3192	2955
CXUVEHOTHXPLB0505M	2813	3330	3062	3086	2986	3020	3016	3083	3346	3474	3327	3517
CXUVEHOTHXPLB0506M	3147	3329	3609	3374	3067	3061	3073	3216	3516	3672	3711	3656
CXUVEHOTHXPLB0507M	3093	3382	3151	3203	2944	3067	2865	3208	3457	3353	3542	2982
CXUVEHOTHXPLB1101M	2355	2592	2621	2536	2464	2454	2490	2584	2723	2756	2884	2842
CXUVEHOTHXPLB1104M	2182	2378	2488	2371	2315	2400	2434	2395	2512	2495	2751	2625
