geography,level,year,palma,se
Alamance,county,2006,1.8662783539407342,0.12270099373295171
Alexander,county,2006,2.2134487541647903,0.18201935959294624
Alleghany,county,2006,2.2841703647217826,0.3220270862067553
Anson,county,2006,1.907728181033465,0.22253136752322572
Ashe,county,2006,2.6431448900271612,0.20018497906302263
Beaufort,county,2006,1.9771348221989578,0.19260769549183465
Bladen,county,2006,2.1721469418532546,0.2089555641027356
Brunswick,county,2006,2.4559432027308965,0.15368706982734348
Buncombe,county,2006,2.130668206233169,0.15038515841210323
Cabarrus,county,2006,1.636445129672666,0.1276136938701508
Camden,county,2006,1.9564634884851295,0.14649488359660856
Carteret,county,2006,2.0677411188376302,0.13077309870912485
Catawba,county,2006,1.9961822001996705,0.195401257410341
Chatham,county,2006,2.719506122781143,0.14503935200476978
Cherokee,county,2006,2.142557968296635,0.18993924399946566
Cleveland,county,2006,1.9682891932123128,0.15086164111695835
Cumberland,county,2006,2.147819024465729,0.15998461314460227
Davidson,county,2006,1.622723996244504,0.14726576589200283
Davie,county,2006,1.6031976551839144,0.12446717751880543
Duplin,county,2006,1.8295100940460693,0.10597326994104111
Durham,county,2006,2.171750163373951,0.11489160389557954
Edgecombe,county,2006,2.511488597672307,0.3140364808486372
Forsyth,county,2006,2.4506987295444973,0.1359726863216252
Franklin,county,2006,1.849717394302421,0.13730362637728008
Gaston,county,2006,2.1023350803108976,0.15617068330406708
Granville,county,2006,2.180548765112867,0.25183555125669177
Greene,county,2006,2.003944745871319,0.20515693017144768
Guilford,county,2006,2.5229118986391708,0.12442096132963476
Halifax,county,2006,2.8501980551077484,0.31450265635813485
Harnett,county,2006,1.838712527020281,0.08523222343645379
Henderson,county,2006,2.3706888745540344,0.24538314366152658
Hoke,county,2006,2.4991797326475242,0.21764259717022244
Mecklenburg,county,2006,2.570554156120481,0.09005059610961691
Pitt,county,2006,2.511367965718511,0.23432087699541485
Robeson,county,2006,3.171450615080917,0.4580903659032205
Rowan,county,2006,2.1168899079344334,0.1914753038144198
Union,county,2006,1.7045279244115414,0.12917571753245294
Wake,county,2006,2.1708552916390804,0.09920242231304814
Wayne,county,2006,2.066802274729357,0.14559264988748993
Alamance,county,2007,2.006102593523402,0.14244349860054278
Alexander,county,2007,2.193861458142352,0.11182409788094849
Alleghany,county,2007,2.3547702884724973,0.21964482735489516
Anson,county,2007,2.5091750939673463,0.3516542764561217
Ashe,county,2007,2.421177360992655,0.26528935200296483
Beaufort,county,2007,2.420950786269037,0.26138051658239714
Bladen,county,2007,2.8286666852964832,0.3432420955776402
Brunswick,county,2007,2.566619861649205,0.18824875298356342
Buncombe,county,2007,2.3860442283087604,0.1531618446306025
Cabarrus,county,2007,2.5560942669928157,0.32918612672931763
Camden,county,2007,2.4676709601668003,0.24656518124123852
Carteret,county,2007,2.261270511257344,0.1889695031134118
Catawba,county,2007,2.0788101609843745,0.22758322594948208
Chatham,county,2007,2.947502300787608,0.1914095276299336
Cherokee,county,2007,2.703725718201917,0.3136351168989404
Cleveland,county,2007,1.902292651101853,0.1525956697461549
Cumberland,county,2007,2.168634441469884,0.15927691663477028
Davidson,county,2007,1.9128163845695862,0.1773374648609667
Davie,county,2007,1.8396307435229717,0.154293545668516
Duplin,county,2007,1.998901756101669,0.12708241285560273
Durham,county,2007,2.317244774887741,0.12192557032375824
Edgecombe,county,2007,2.4742495951341295,0.31598084330961523
Forsyth,county,2007,2.6837728581416567,0.1452061423719082
Franklin,county,2007,1.7685278298990639,0.11985249157768287
Gaston,county,2007,2.236017337012368,0.15305472744085613
Granville,county,2007,2.214744780637697,0.25095271078679954
Greene,county,2007,2.4257642465796607,0.16131991814041266
Guilford,county,2007,2.754024442128599,0.14552691744544047
Halifax,county,2007,2.7878432645227145,0.29207974176186413
Harnett,county,2007,1.6837189797010996,0.07989421087921275
Henderson,county,2007,1.9570863206464664,0.19677856678252456
Hoke,county,2007,2.125025514229502,0.1568287002548644
Mecklenburg,county,2007,2.3247609833577054,0.08242165030266407
Pitt,county,2007,3.148316028319365,0.3054334003592611
Robeson,county,2007,2.9693220579544826,0.34539397782381276
Rowan,county,2007,2.082770110482039,0.2020178533557481
Union,county,2007,2.093619672396058,0.16883742938468288
Wake,county,2007,2.3157491397854915,0.12165005774637988
Wayne,county,2007,2.0632743172370893,0.18097974419687776
Alamance,county,2008,1.9623251117991125,0.11423914684654794
Alexander,county,2008,2.329007028211544,0.14359775960419255
Alleghany,county,2008,2.1535506935624458,0.19794302644526063
Anson,county,2008,2.152437562134645,0.24223594578432653
Ashe,county,2008,2.7993369717777177,0.33812488408717645
Beaufort,county,2008,2.4917525780463143,0.2095020500531042
Bladen,county,2008,2.313058755536854,0.23540302120596993
Brunswick,county,2008,2.131635245226729,0.11809699881492494
Buncombe,county,2008,2.5441145758022246,0.2408354797819359
Cabarrus,county,2008,2.296369180203116,0.19805166811044592
