year,geography,Palma,se
6,US,2.449216951,0.005437748
7,US,2.501907665,0.005749438
8,US,2.529196122,0.006766212
9,US,2.531205671,0.006038954
10,US,2.534894604,0.005892514
11,US,2.621564737,0.006466113
12,US,2.636675445,0.006172486
13,US,2.730277091,0.007550479
14,US,2.699069347,0.007320829
15,US,2.728298867,0.006433552
16,US,2.70960225,0.006214827
6,urban,2.342622415,0.041500778
7,urban,2.390062426,0.042194396
8,urban,2.357193479,0.040073034
9,urban,2.481281143,0.044426616
10,urban,2.447956026,0.045914792
11,urban,2.578152492,0.049780716
12,urban,2.502702939,0.045954942
13,urban,2.693205086,0.057879612
14,urban,2.639170347,0.054120341
15,urban,2.612649873,0.054792466
16,urban,2.627427434,0.052138466
6,Forsyth,2.450647436,0.135969249
7,Forsyth,2.683720726,0.145202182
8,Forsyth,2.361157688,0.15888151
9,Forsyth,2.291653461,0.134447896
10,Forsyth,2.480278071,0.174100169
11,Forsyth,2.793615649,0.145833928
12,Forsyth,2.928267283,0.174555753
13,Forsyth,2.899384029,0.172924394
14,Forsyth,2.576072383,0.152778277
15,Forsyth,2.777360441,0.203146219
16,Forsyth,3.157660517,0.181679977
