year,geo_description,subtype,estimate,se,type
2007,"Forsyth County, NC",Assault,386.5,10.6833364015874,Other violent crime
2008,"Forsyth County, NC",Assault,467.2,11.6483385815935,Other violent crime
2009,"Forsyth County, NC",Assault,384.3,10.5005939028439,Other violent crime
2010,"Forsyth County, NC",Assault,356.8,10.0762414983643,Other violent crime
2011,"Forsyth County, NC",Assault,377.3,10.311697806057,Other violent crime
2012,"Forsyth County, NC",Assault,383,10.3441804990396,Other violent crime
2013,"Forsyth County, NC",Assault,324.4,9.47953035993215,Other violent crime
2014,"Forsyth County, NC",Assault,397.3,10.4337164141896,Other violent crime
2015,"Forsyth County, NC",Assault,426.8,10.7704618484924,Other violent crime
2016,"Forsyth County, NC",Assault,467.9,11.2209722692714,Other violent crime
2007,"Durham County, NC",Assault,359,11.9168679061278,Other violent crime
2008,"Durham County, NC",Assault,354.6,11.6928725471236,Other violent crime
2009,"Durham County, NC",Assault,318.6,10.9574230576865,Other violent crime
2010,"Durham County, NC",Assault,350.9,11.3722180343819,Other violent crime
2011,"Durham County, NC",Assault,363.4,11.4563397356965,Other violent crime
2012,"Durham County, NC",Assault,396.9,11.842691085477,Other violent crime
2013,"Durham County, NC",Assault,336.6,10.7929009521748,Other violent crime
2014,"Durham County, NC",Assault,402.8,11.67599537556,Other violent crime
2015,"Durham County, NC",Assault,480.4,12.6296920379421,Other violent crime
2016,"Durham County, NC",Assault,447.5,12.0715679299585,Other violent crime
2007,"Guilford County, NC",Assault,402.7,9.27153787076296,Other violent crime
2008,"Guilford County, NC",Assault,336.5,8.39199799362989,Other violent crime
2009,"Guilford County, NC",Assault,301.7,7.8937657066626,Other violent crime
2010,"Guilford County, NC",Assault,270.2,7.42925101071492,Other violent crime
2011,"Guilford County, NC",Assault,274.6,7.4463247109354,Other violent crime
2012,"Guilford County, NC",Assault,274.1,7.39790783498708,Other violent crime
2013,"Guilford County, NC",Assault,259.7,7.15863299182792,Other violent crime
2014,"Guilford County, NC",Assault,244.9,6.91241949900266,Other violent crime
2015,"Guilford County, NC",Assault,307.3,7.70429617624321,Other violent crime
2016,"Guilford County, NC",Assault,350.7,8.19661045000558,Other violent crime
2007,North Carolina,Assault,292.1,1.78984368344424,Other violent crime
2008,North Carolina,Assault,286.1,1.75306064548775,Other violent crime
2009,North Carolina,Assault,256.4,1.6472255845622,Other violent crime
2010,North Carolina,Assault,242.3,1.59083227483497,Other violent crime
2011,North Carolina,Assault,229.4,1.54078508345772,Other violent crime
2012,North Carolina,Assault,234.8,1.55141774211125,Other violent crime
2013,North Carolina,Assault,220.1,1.49484461265225,Other violent crime
2014,North Carolina,Assault,221.6,1.49302247780991,Other violent crime
2015,North Carolina,Assault,239.5,1.54435680302484,Other violent crime
2016,North Carolina,Assault,251,1.57202983284428,Other violent crime
2007,"Forsyth County, NC",Murder,8.2,1.55610565484131,Other violent crime
2008,"Forsyth County, NC",Murder,5.9,1.3089967688564,Other violent crime
2009,"Forsyth County, NC",Murder,5,1.19774308707415,Other violent crime
2010,"Forsyth County, NC",Murder,3.7,1.02609366638788,Other violent crime
2011,"Forsyth County, NC",Murder,4.8,1.16307412275568,Other violent crime
2012,"Forsyth County, NC",Murder,2.3,0.801605375934432,Other violent crime
2013,"Forsyth County, NC",Murder,5,1.17687788289463,Other violent crime
2014,"Forsyth County, NC",Murder,4.7,1.13482442594103,Other violent crime
2015,"Forsyth County, NC",Murder,5.2,1.18884105141807,Other violent crime
2016,"Forsyth County, NC",Murder,7.4,1.41113910274774,Other violent crime
2007,"Durham County, NC",Murder,11.5,2.1328672280992,Other violent crime
2008,"Durham County, NC",Murder,9.9,1.95375205371641,Other violent crime
2009,"Durham County, NC",Murder,8.2,1.75789313536786,Other violent crime
2010,"Durham County, NC",Murder,10.3,1.94837301463694,Other violent crime
2011,"Durham County, NC",Murder,11.3,2.02019198778855,Other violent crime
2012,"Durham County, NC",Murder,7.8,1.66018755048771,Other violent crime
2013,"Durham County, NC",Murder,10.5,1.90623212915756,Other violent crime
2014,"Durham County, NC",Murder,7.8,1.62478718374124,Other violent crime
2015,"Durham County, NC",Murder,13.5,2.11718176951545,Other violent crime
2016,"Durham County, NC",Murder,14,2.13516371595104,Other violent crime
2007,"Guilford County, NC",Murder,13,1.66583751374269,Other violent crime
