year,geo_description,subtype,total,estimate,type,grads,non_grads,level,se,moe,cv
2012-2013,"Durham County, NC",ALL,2447,0.8,district,1948,499,2012-2013 Durham ALL,0.01,0.02,1.02
2012-2013,"Durham County, NC",B,1331,0.78,district,1040,291,2012-2013 Durham B,0.01,0.02,1.45
2012-2013,"Durham County, NC",EDS,1115,0.73,district,809,306,2012-2013 Durham EDS,0.01,0.03,1.84
2012-2013,"Durham County, NC",F,1221,0.84,district,1031,190,2012-2013 Durham F,0.01,0.02,1.23
2012-2013,"Durham County, NC",H,368,0.67,district,246,122,2012-2013 Durham H,0.02,0.05,3.67
2012-2013,"Durham County, NC",M,1226,0.75,district,920,306,2012-2013 Durham M,0.01,0.02,1.65
2012-2013,"Durham County, NC",NON_EDS,1332,0.86,district,1139,193,2012-2013 Durham NON_EDS,0.01,0.02,1.13
2012-2013,"Durham County, NC",W,614,0.9,district,550,64,2012-2013 Durham W,0.01,0.02,1.37
2013-2014,"Durham County, NC",ALL,2362,0.82,district,1925,437,2013-2014 Durham ALL,0.01,0.02,0.98
2013-2014,"Durham County, NC",B,1313,0.79,district,1036,277,2013-2014 Durham B,0.01,0.02,1.43
2013-2014,"Durham County, NC",EDS,1148,0.75,district,859,289,2013-2014 Durham EDS,0.01,0.03,1.71
2013-2014,"Durham County, NC",F,1226,0.87,district,1065,161,2013-2014 Durham F,0.01,0.02,1.11
2013-2014,"Durham County, NC",H,393,0.72,district,284,109,2013-2014 Durham H,0.02,0.04,3.12
2013-2014,"Durham County, NC",M,1136,0.76,district,861,275,2013-2014 Durham M,0.01,0.02,1.68
2013-2014,"Durham County, NC",NON_EDS,1214,0.88,district,1066,148,2013-2014 Durham NON_EDS,0.01,0.02,1.07
2013-2014,"Durham County, NC",W,525,0.93,district,487,38,2013-2014 Durham W,0.01,0.02,1.22
2014-2015,"Durham County, NC",ALL,2461,0.81,district,1986,475,2014-2015 Durham ALL,0.01,0.02,0.99
2014-2015,"Durham County, NC",B,1420,0.8,district,1130,290,2014-2015 Durham B,0.01,0.02,1.34
2014-2015,"Durham County, NC",EDS,1100,0.76,district,840,260,2014-2015 Durham EDS,0.01,0.03,1.68
2014-2015,"Durham County, NC",F,1227,0.86,district,1054,173,2014-2015 Durham F,0.01,0.02,1.16
2014-2015,"Durham County, NC",H,436,0.72,district,315,121,2014-2015 Durham H,0.02,0.04,2.97
2014-2015,"Durham County, NC",M,1234,0.75,district,930,304,2014-2015 Durham M,0.01,0.02,1.63
2014-2015,"Durham County, NC",NON_EDS,1361,0.84,district,1146,215,2014-2015 Durham NON_EDS,0.01,0.02,1.17
2014-2015,"Durham County, NC",W,472,0.9,district,426,46,2014-2015 Durham W,0.01,0.03,1.51
2015-2016,"Durham County, NC",ALL,2532,0.82,district,2084,448,2015-2016 Durham ALL,0.01,0.01,0.92
2015-2016,"Durham County, NC",B,1396,0.82,district,1138,258,2015-2016 Durham B,0.01,0.02,1.28
2015-2016,"Durham County, NC",EDS,1163,0.78,district,909,254,2015-2016 Durham EDS,0.01,0.02,1.55
2015-2016,"Durham County, NC",F,1290,0.87,district,1118,172,2015-2016 Durham F,0.01,0.02,1.09
2015-2016,"Durham County, NC",H,515,0.77,district,398,117,2015-2016 Durham H,0.02,0.04,2.39
2015-2016,"Durham County, NC",M,1242,0.78,district,966,276,2015-2016 Durham M,0.01,0.02,1.52
2015-2016,"Durham County, NC",NON_EDS,1369,0.86,district,1175,194,2015-2016 Durham NON_EDS,0.01,0.02,1.1
2015-2016,"Durham County, NC",W,470,0.89,district,420,50,2015-2016 Durham W,0.01,0.03,1.59
2016-2017,"Durham County, NC",ALL,2668,0.81,district,2172,496,2016-2017 Durham ALL,0.01,0.01,0.93
2016-2017,"Durham County, NC",B,1398,0.82,district,1148,250,2016-2017 Durham B,0.01,0.02,1.25
2016-2017,"Durham County, NC",EDS,1204,0.76,district,913,291,2016-2017 Durham EDS,0.01,0.02,1.63
2016-2017,"Durham County, NC",F,1361,0.86,district,1166,195,2016-2017 Durham F,0.01,0.02,1.11
2016-2017,"Durham County, NC",H,646,0.71,district,457,189,2016-2017 Durham H,0.02,0.04,2.53
2016-2017,"Durham County, NC",M,1306,0.77,district,1006,300,2016-2017 Durham M,0.01,0.02,1.51
2016-2017,"Durham County, NC",NON_EDS,1464,0.86,district,1259,205,2016-2017 Durham NON_EDS,0.01,0.02,1.05
2016-2017,"Durham County, NC",W,483,0.92,district,443,40,2016-2017 Durham W,0.01,0.02,1.37
2017-2018,"Durham County, NC",ALL,2878,0.82,district,2346,532,2017-2018 Durham ALL,0.01,0.01,0.89
2017-2018,"Durham County, NC",B,1435,0.83,district,1192,243,2017-2018 Durham B,0.01,0.02,1.19
2017-2018,"Durham County, NC",EDS,1323,0.76,district,1003,320,2017-2018 Durham EDS,0.01,0.02,1.55
2017-2018,"Durham County, NC",F,1373,0.86,district,1177,196,2017-2018 Durham F,0.01,0.02,1.1
