geo_description,type,year,estimate,se,moe,cv,subtype
Durham,county,2006,2.171750163,0.114891604,0.188996689,5.290277213,Durham
Forsyth,county,2006,2.45069873,0.135972686,0.223675068,5.548323192,Forsyth
Guilford,county,2006,2.522911899,0.124420961,0.204672481,4.931641135,Guilford
Durham,county,2007,2.317244775,0.12192557,0.200567563,5.261661233,Durham
Forsyth,county,2007,2.683772858,0.145206142,0.238864104,5.410522786,Forsyth
Guilford,county,2007,2.754024442,0.145526917,0.239391778,5.284154882,Guilford
Durham,county,2008,2.322552001,0.138075131,0.22713359,5.944974792,Durham
Forsyth,county,2008,2.361201198,0.158886313,0.261367985,6.729045925,Forsyth
Guilford,county,2008,2.445624262,0.126405676,0.207937337,5.16864663,Guilford
Durham,county,2009,2.330779009,0.121863999,0.200466278,5.228466471,Durham
Forsyth,county,2009,2.291702711,0.134452561,0.221174463,5.866928566,Forsyth
Guilford,county,2009,2.519625968,0.15061035,0.247754026,5.977488402,Guilford
Durham,county,2010,2.480426782,0.141405623,0.23261225,5.700858579,Durham
Forsyth,county,2010,2.480325264,0.174105415,0.286403408,7.019459001,Forsyth
Guilford,county,2010,2.439512739,0.126733105,0.208475958,5.195017143,Guilford
Durham,county,2011,2.471082666,0.129577074,0.213154287,5.243736917,Durham
Forsyth,county,2011,2.793681883,0.145839698,0.239906303,5.220340186,Forsyth
Guilford,county,2011,2.676563447,0.161450865,0.265586673,6.032020843,Guilford
Durham,county,2012,2.87223124,0.22823434,0.375445489,7.94623834,Durham
Forsyth,county,2012,2.928326314,0.174561743,0.287154067,5.961143817,Forsyth
Guilford,county,2012,2.538466761,0.113868368,0.187313465,4.485714359,Guilford
Durham,county,2013,2.907468346,0.157941539,0.259813832,5.432270285,Durham
Forsyth,county,2013,2.899445538,0.172930782,0.284471136,5.964270745,Forsyth
Guilford,county,2013,2.899366381,0.19944964,0.328094658,6.879076798,Guilford
Durham,county,2014,2.50733994,0.183699866,0.30218628,7.326484258,Durham
Forsyth,county,2014,2.576124041,0.152782096,0.251326548,5.930696409,Forsyth
Guilford,county,2014,2.412870832,0.120860854,0.198816105,5.009006383,Guilford
Durham,county,2015,2.857361656,0.238966401,0.39309973,8.363183586,Durham
Forsyth,county,2015,2.777414774,0.203151849,0.334184792,7.314422423,Forsyth
Guilford,county,2015,2.689954336,0.171261484,0.281725141,6.366705996,Guilford
Durham,county,2016,2.475020673,0.180059536,0.296197937,7.275072001,Durham
Forsyth,county,2016,3.157728861,0.181685054,0.298871914,5.753662268,Forsyth
Guilford,county,2016,2.991763344,0.198327906,0.326249405,6.629130823,Guilford
Durham,county,2017,2.817671565,0.266936458,0.439110473,9.473654109,Durham
Forsyth,county,2017,3.07081794,0.21047288,0.346227888,6.853968034,Forsyth
Guilford,county,2017,2.662900104,0.142545988,0.23448815,5.353035504,Guilford
Durham County (South)--Durham City (South),puma,2012,3.055400007,0.315578202,0.519126142,10.32853968,Durham
Durham County (North)--Durham City (North),puma,2012,2.518041584,0.244427151,0.402082663,9.707033933,Durham
Greensboro City (North),puma,2012,3.200624183,0.296603989,0.487913562,9.267067048,Guilford
Greensboro City (South),puma,2012,2.193289445,0.212734075,0.349947553,9.699316043,Guilford
Guilford County (North)--Summerfield Town,puma,2012,2.04939276,0.215110526,0.353856815,10.49630555,Guilford
Guilford County (South)--High Point City,puma,2012,2.293712294,0.206467363,0.339638812,9.0014499,Guilford
Winston-Salem City (North),puma,2012,5.146902721,0.530373296,0.872464072,10.30470799,Forsyth
Winston-Salem City (South),puma,2012,2.308859743,0.260313297,0.428215374,11.27453921,Forsyth
Forsyth County (Outside Winston-Salem City)--Kernersville Town & Clemmons Village,puma,2012,1.941515106,0.17085055,0.281049155,8.799856847,Forsyth
Durham County (South)--Durham City (South),puma,2013,2.905279166,0.294142847,0.483864983,10.12442627,Durham
Durham County (North)--Durham City (North),puma,2013,2.806133167,0.26653051,0.438442689,9.498141896,Durham
Greensboro City (North),puma,2013,3.509308342,0.42159552,0.69352463,12.01363571,Guilford
Greensboro City (South),puma,2013,2.758090728,0.395876623,0.651217045,14.35328501,Guilford
Guilford County (North)--Summerfield Town,puma,2013,1.889092473,0.174504569,0.287060016,9.237481568,Guilford
Guilford County (South)--High Point City,puma,2013,2.723325053,0.262789326,0.432288441,9.649576194,Guilford
Winston-Salem City (North),puma,2013,4.460828388,0.614993902,1.011664969,13.78654027,Forsyth
Winston-Salem City (South),puma,2013,2.429962696,0.192309091,0.316348455,7.914075855,Forsyth
Forsyth County (Outside Winston-Salem City)--Kernersville Town & Clemmons Village,puma,2013,2.073823441,0.206994054,0.340505219,9.981276608,Forsyth
Durham County (South)--Durham City (South),puma,2014,2.356475228,0.202367772,0.332894985,8.587731778,Durham
Durham County (North)--Durham City (North),puma,2014,2.581560783,0.370175666,0.608938971,14.33921945,Durham
Greensboro City (North),puma,2014,2.85557724,0.2073292,0.341056534,7.260500507,Guilford
Greensboro City (South),puma,2014,2.276371508,0.273630757,0.450122595,12.02047891,Guilford
Guilford County (North)--Summerfield Town,puma,2014,1.801753631,0.146775455,0.241445623,8.146255541,Guilford
Guilford County (South)--High Point City,puma,2014,2.116968923,0.193103604,0.317655429,9.12170235,Guilford
Winston-Salem City (North),puma,2014,3.60597485,0.374764124,0.616486984,10.39286572,Forsyth
Winston-Salem City (South),puma,2014,2.525128478,0.292653459,0.48141494,11.58964629,Forsyth
Forsyth County (Outside Winston-Salem City)--Kernersville Town & Clemmons Village,puma,2014,1.846539258,0.145291966,0.239005284,7.86833886,Forsyth
Durham County (South)--Durham City (South),puma,2015,3.199255446,0.344065743,0.565988147,10.75455677,Durham
Durham County (North)--Durham City (North),puma,2015,2.219531293,0.249529069,0.410475319,11.24242176,Durham
Greensboro City (North),puma,2015,3.402327538,0.294370859,0.484240063,8.652043512,Guilford
Greensboro City (South),puma,2015,1.99971291,0.230824519,0.379706334,11.54288287,Guilford
Guilford County (North)--Summerfield Town,puma,2015,2.250763143,0.318357491,0.523698073,14.14442439,Guilford
Guilford County (South)--High Point City,puma,2015,2.39088034,0.257741057,0.423984039,10.78017384,Guilford
Winston-Salem City (North),puma,2015,3.991533758,0.492205758,0.809678472,12.33124377,Forsyth
Winston-Salem City (South),puma,2015,2.619736982,0.467313293,0.768730367,17.83817598,Forsyth
Forsyth County (Outside Winston-Salem City)--Kernersville Town & Clemmons Village,puma,2015,2.046149398,0.185330165,0.304868121,9.057508957,Forsyth
Durham County (South)--Durham City (South),puma,2016,2.388102752,0.204793895,0.336885957,8.575589758,Durham
Durham County (North)--Durham City (North),puma,2016,2.420377944,0.337186913,0.554672472,13.93116781,Durham
Greensboro City (North),puma,2016,3.511305254,0.397528319,0.653934085,11.32138308,Guilford
Greensboro City (South),puma,2016,2.652565983,0.339875008,0.559094388,12.81306517,Guilford
Guilford County (North)--Summerfield Town,puma,2016,2.010889709,0.213014879,0.350409476,10.59306625,Guilford
Guilford County (South)--High Point City,puma,2016,2.571985587,0.228062735,0.375163199,8.867185576,Guilford
Winston-Salem City (North),puma,2016,5.037172292,0.532042619,0.875210108,10.5623272,Forsyth
Winston-Salem City (South),puma,2016,2.470523005,0.27960539,0.459950867,11.31765984,Forsyth
Forsyth County (Outside Winston-Salem City)--Kernersville Town & Clemmons Village,puma,2016,2.40318237,0.233107405,0.383461681,9.699946534,Forsyth
Durham County (South)--Durham City (South),puma,2017,2.731479737,0.346950413,0.570733429,12.70192154,Durham
