year,children,phase_in_rate,phase_in_ends,max_credit,phase_out_rate,phase_out_begins_single,phase_out_ends_single,phase_out_begins_married,phase_out_ends_married
2017,0,0.0765,"6,670",510,0.0765,"8,340","15,010","13,930","20,600"
2017,1,0.3400,"10,000","3,400",0.1598,"18,340","39,617","23,930","45,207"
2017,2,0.4000,"14,040","5,616",0.2106,"18,340","45,007","23,930","50,597"
2017,3,0.4500,"14,040","6,318",0.2106,"18,340","48,340","23,930","53,930"
2016,0,0.0765,"6,610",506,0.0765,"8,270","14,880","13,820","20,430"
2016,1,0.3400,"9,920","3,373",0.1598,"18,190","39,296","23,740","44,846"
2016,2,0.4000,"13,931","5,572",0.2106,"18,190","44,648","23,740","50,198"
2016,3,0.4500,"13,930","6,269",0.2106,"18,190","47,955","23,740","53,505"
2015,0,0.0765,"6,580",503,0.0765,"8,240","14,820","13,760","20,340"
2015,1,0.3400,"9,880","3,359",0.1598,"18,110","39,131","23,630","44,651"
2015,2,0.4000,"13,870","5,548",0.2106,"18,110","44,454","23,630","49,974"
2015,3,0.4500,"13,870","6,242",0.2106,"18,110","47,747","23,630","53,267"
2014,0,0.0765,"6,480",496,0.0765,"8,110","14,590","13,540","20,020"
2014,1,0.3400,"9,720","3,305",0.1598,"17,830","38,511","23,260","43,941"
2014,2,0.4000,"13,650","5,460",0.2106,"17,830","43,756","23,260","49,186"
2014,3,0.4500,"13,650","6,143",0.2106,"17,830","46,997","23,260","52,427"
2013,0,0.0765,"6,370",487,0.0765,"7,970","14,340","13,310","19,680"
2013,1,0.3400,"9,560","3,250",0.1598,"17,530","37,870","22,870","43,210"
2013,2,0.4000,"13,430","5,372",0.2106,"17,530","43,038","22,870","48,378"
2013,3,0.4500,"13,430","6,044",0.2106,"17,530","46,227","22,870","51,567"
2012,0,0.0765,"6,210",475,0.0765,"7,770","13,980","12,980","19,190"
2012,1,0.3400,"9,320","3,169",0.1598,"17,090","36,920","22,300","42,130"
2012,2,0.4000,"13,090","5,236",0.2106,"17,090","41,952","22,300","47,162"
2012,3,0.4500,"13,090","5,891",0.2106,"17,090","45,060","22,300","50,270"
2011,0,0.0765,"6,070",464,0.0765,"7,590","13,660","12,670","18,740"
2011,1,0.3400,"9,100","3,094",0.1598,"16,690","36,052","21,770","41,132"
2011,2,0.4000,"12,780","5,112",0.2106,"16,690","40,964","21,770","46,044"
2011,3,0.4500,"12,780","5,751",0.2106,"16,690","43,998","21,770","49,078"
2010,0,0.0765,"5,980",457,0.0765,"7,480","13,460","12,490","18,470"
2010,1,0.3400,"8,970","3,050",0.1598,"16,450","35,535","21,460","40,545"
2010,2,0.4000,"12,590","5,036",0.2106,"16,450","40,363","21,460","45,373"
2010,3,0.4500,"12,590","5,666",0.2106,"16,450","43,352","21,460","48,362"
2009,0,0.0765,"5,970",457,0.0765,"7,470","13,440","12,470","18,440"
2009,1,0.3400,"8,950","3,043",0.1598,"16,420","35,463","21,420","40,463"
2009,2,0.4000,"12,570","5,028",0.2106,"16,420","40,295","21,420","45,295"
2009,3,0.4500,"12,570","5,657",0.2106,"16,420","43,279","21,420","48,279"
2008,0,0.0765,"5,720",438,0.0765,"7,160","12,880","10,160","15,880"
2008,1,0.3400,"8,580","2,917",0.1598,"15,740","33,995","18,740","36,995"
2008,2,0.4000,"12,060","4,824",0.2106,"15,740","38,646","18,740","41,646"
2007,3,0.0765,"5,590",428,0.0765,"7,000","12,590","9,000","14,590"
2007,0,0.3400,"8,390","2,853",0.1598,"15,390","33,241","17,390","35,241"
2007,1,0.4000,"11,790","4,716",0.2106,"15,390","37,783","17,390","39,783"
2006,2,0.0765,"5,380",412,0.0765,"6,740","12,120","8,740","14,120"
2006,3,0.3400,"8,080","2,747",0.1598,"14,810","32,001","16,810","34,001"
2006,0,0.4000,"11,340","4,536",0.2106,"14,810","36,348","16,810","38,348"
