year,bracket,single_max,married_max,hoh_max,single_min,married_min,hoh_min,single_fulltax,married_fulltax,hoh_fulltax,single_fulltax_cum,marries_fulltax_cum,hoh_fulltax_cum,bucket
2017,0.1,9325,18650,13350,0,0,0,932.5,1865,1335,0,0,0,1
2017,0.15,37950,75900,50800,9325,18650,13350,4293.75,8587.5,5617.5,932.5,1865,1335,2
2017,0.25,91900,153100,131200,37950,75900,50800,13487.5,19300,20100,5226.25,10452.5,6952.5,3
2017,0.28,191650,233350,212500,91900,153100,131200,27930,22470,22764,18713.75,29752.5,27052.5,4
2017,0.33,416700,416700,416700,191650,233350,212500,74266.5,60505.5,67386,46643.75,52222.5,49816.5,5
2017,0.35,418400,470700,444550,416700,416700,416700,595,18900,9747.5,120910.25,112728,117202.5,6
2017,0.4,9999999,9999999,9999999,418400,470700,444550,1.00E+07,1.00E+07,1.00E+07,121505.25,131628,126950,7
2016,0.1,9275,18550,13250,0,0,0,927.5,1855,1325,0,0,0,1
2016,0.15,37650,75300,50400,9275,18550,13250,4256.25,8512.5,5572.5,927.5,1855,1325,2
2016,0.25,91150,151900,130150,37650,75300,50400,13375,19150,19937.5,5183.75,10367.5,6897.5,3
2016,0.28,190150,231450,210800,91150,151900,130150,27720,22274,22582,18558.75,29517.5,26835,4
2016,0.33,413350,413350,413350,190150,231450,210800,73656,60027,66841.5,46278.75,51791.5,49417,5
2016,0.35,415050,466950,441000,413350,413350,413350,595,18760,9677.5,119934.75,111818.5,116258.5,6
2016,0.4,9999999,9999999,9999999,415050,466950,441000,1.00E+07,1.00E+07,1.00E+07,120529.75,130578.5,125936,7
2015,0.1,9225,18450,13150,0,0,0,922.5,1845,1315,0,0,0,1
2015,0.15,37450,74900,50200,9225,18450,13150,4233.75,8467.5,5557.5,922.5,1845,1315,2
2015,0.25,90750,151200,129600,37450,74900,50200,13325,19075,19850,5156.25,10312.5,6872.5,3
2015,0.28,189300,230450,209850,90750,151200,129600,27594,22190,22470,18481.25,29387.5,26722.5,4
2015,0.33,411500,411500,411500,189300,230450,209850,73326,59746.5,66544.5,46075.25,51577.5,49192.5,5
2015,0.35,413200,464850,439200,411500,411500,411500,595,18672.5,9695,119401.25,111324,115737,6
2015,0.4,9999999,9999999,9999999,413200,464850,439200,3.96E+12,3.96E+12,3.96E+12,119996.25,129996.5,125432,7
