year,status,std_deduction
2006,single,5150
2007,single,5350
2008,single,5450
2009,single,5700
2010,single,5700
2011,single,5800
2012,single,5950
2013,single,6200
2014,single,6200
2015,single,6300
2016,single,6300
2017,single,6350
2006,married,10300
2007,married,10700
2008,married,10900
2009,married,11400
2010,married,11400
2011,married,11600
2012,married,11900
2013,married,12400
2014,married,12400
2015,married,12600
2016,married,12600
2017,married,12700
2006,hoh,7550
2007,hoh,7850
2008,hoh,8000
2009,hoh,8350
2010,hoh,8400
2011,hoh,8500
2012,hoh,8700
2013,hoh,9100
2014,hoh,9100
2015,hoh,9250
2016,hoh,9300
2017,hoh,9350
