year,bracket,single_min,married_min,hoh_min,bucket
2017,0.1,0,0,0,1
2017,0.15,9325,18650,13350,2
2017,0.25,37950,75900,50800,3
2017,0.28,91900,153100,131200,4
2017,0.33,191650,233350,212500,5
2017,0.35,416700,416700,416700,6
2017,0.4,418400,470700,444550,7
2016,0.1,0,0,0,1
2016,0.15,9275,18550,13250,2
2016,0.25,37650,75300,50400,3
2016,0.28,91150,151900,130150,4
2016,0.33,190150,231450,210800,5
2016,0.35,413350,413350,413350,6
2016,0.4,415050,466950,441000,7
2015,0.1,0,0,0,1
2015,0.15,9225,18450,13150,2
2015,0.25,37450,74900,50200,3
2015,0.28,90750,151200,129600,4
2015,0.33,189300,230450,209850,5
2015,0.35,411500,411500,411500,6
2015,0.4,413200,464850,439200,7
2014,0.1,0,0,0,1
2014,0.15,9075,18150,12950,2
2014,0.25,36900,73800,49400,3
2014,0.28,89350,148850,127550,4
2014,0.33,186350,226850,206600,5
2014,0.35,405100,405100,405100,6
2014,0.4,406750,457600,432200,7
2013,0.1,0,0,0,1
2013,0.15,8925,17850,12750,2
2013,0.25,36250,72500,48600,3
2013,0.28,87850,146400,125450,4
2013,0.33,183250,223050,203150,5
2013,0.35,398350,398350,398350,6
2013,0.4,400000,450000,425000,7
2012,0.1,0,0,0,1
2012,0.15,8700,17400,12400,2
2012,0.25,35350,70700,47350,3
2012,0.28,85650,142700,122300,4
2012,0.33,178650,217450,198050,5
2012,0.35,388350,388350,388350,6
2011,0.1,0,0,0,1
2011,0.15,8500,17000,12150,2
2011,0.25,34500,69000,46250,3
2011,0.28,83600,139350,119400,4
2011,0.33,174400,212300,193350,5
2011,0.35,379150,379150,379150,6
2010,0.1,0,0,0,1
2010,0.15,8375,16750,11950,2
2010,0.25,34000,68000,45550,3
2010,0.28,82400,137300,117650,4
2010,0.33,171850,209250,190550,5
2010,0.35,373650,373650,373650,6
2009,0.1,0,0,0,1
2009,0.15,8350,16700,11950,2
2009,0.25,33950,67900,45500,3
2009,0.28,82250,137050,117450,4
2009,0.33,171550,208850,190200,5
2009,0.35,372950,372950,372950,6
2008,0.1,0,0,0,1
2008,0.15,8025,16050,11450,2
2008,0.25,32550,65100,43650,3
2008,0.28,78850,131450,112650,4
2008,0.33,164550,200300,182400,5
2008,0.35,357700,357700,357700,6
2007,0.1,0,0,0,1
2007,0.15,7825,15650,11200,2
2007,0.25,31850,63700,42650,3
2007,0.28,77100,128500,110100,4
2007,0.33,160850,195850,178350,5
2007,0.35,349700,349700,349700,6
2006,0.1,0,0,0,1
2006,0.15,7550,15100,10750,2
2006,0.25,30650,61300,41050,3
2006,0.28,74200,123700,10600,4
2006,0.33,154800,188450,171650,5
2006,0.35,336550,336550,336550,6
