year,bracket,single_min,married_min,hoh_min,bucket
2006,0.06,0,0,0,1
2006,0.07,12750,1700,21250,2
2006,0.0775,60000,80000,100000,3
2006,0.0825,120000,160000,200000,4
2007,0.06,0,0,0,1
2007,0.07,12750,17000,21250,2
2007,0.0775,60000,80000,100000,3
2007,0.08,120000,160000,200000,4
2008,0.06,0,0,0,1
2008,0.07,12750,17000,21250,2
2008,0.0775,60000,80000,100000,3
2009,0.06,0,0,0,1
2009,0.07,12750,17000,21250,2
2009,0.075,60000,80000,100000,3
2010,0.06,0,0,0,1
2010,0.07,12750,17000,21250,2
2010,0.075,60000,80000,100000,3
2011,0.06,0,0,0,1
2011,0.075,12750,17000,21250,2
2011,0.0775,60000,80000,100000,3
2012,0.06,0,0,0,1
2012,0.075,12750,17000,21250,2
2012,0.0775,60000,80000,100000,3
2013,0.06,0,0,0,1
2013,0.075,12750,17000,21250,2
2013,0.0775,60000,80000,100000,3
2014,0.058,0,0,0,1
2015,0.0575,0,0,0,1
2016,0.0575,0,0,0,1
2017,0.05499,0,0,0,1
2018,0.05499,0,0,0,1
