GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
HD01_VD01,Estimate; Total:
HD02_VD01,Margin of Error; Total:
HD01_VD02,Estimate; Total: - Under 18 years
HD02_VD02,Margin of Error; Total: - Under 18 years
HD01_VD03,Estimate; Total: - 18 to 24 years
HD02_VD03,Margin of Error; Total: - 18 to 24 years
HD01_VD04,Estimate; Total: - 25 to 34 years
HD02_VD04,Margin of Error; Total: - 25 to 34 years
HD01_VD05,Estimate; Total: - 35 to 44 years
HD02_VD05,Margin of Error; Total: - 35 to 44 years
HD01_VD06,Estimate; Total: - 45 to 54 years
HD02_VD06,Margin of Error; Total: - 45 to 54 years
HD01_VD07,Estimate; Total: - 55 to 64 years
HD02_VD07,Margin of Error; Total: - 55 to 64 years
HD01_VD08,Estimate; Total: - 65 years and over
HD02_VD08,Margin of Error; Total: - 65 years and over
